,xkm,ykm,xm,ym,Longitude,Latitude,mean_pred,var_pred,sigma_pred
22621,-73.3432558893,-222.9599090198,-73343.2558892942,-222959.9090197883,-120.8146290049,36.0075703159,199.2,2534.6,50.3
11132,-73.8073921334,-228.8355390117,-73807.3921333502,-228835.5390117296,-120.8192200521,35.9546536241,-115.1,502.7,22.4
17089,-70.4037263436,-225.8204130948,-70403.7263436065,-225820.4130948124,-120.7817189821,35.9820486503,81.2,1389.9,37.3
10406,-72.5696954825,-229.2220936165,-72569.6954825343,-229222.0936164626,-120.8054465408,35.9512700208,-69.1,631.4,25.1
21590,-78.0619743705,-223.5010854664,-78061.9743705298,-223501.0854664144,-120.8669823634,36.0023231668,-49.6,459.3,21.4
8391,-71.8734911165,-230.3044465097,-71873.4911164504,-230304.4465097149,-120.7976187162,35.9415816099,-68.4,973.5,31.2
1392,-73.884748174,-235.2523454503,-73884.7481740262,-235252.345450297,-120.8194630284,35.8968945075,-133.5,1289.3,35.9
22526,-80.6920797535,-222.9599090198,-80692.0797535135,-222959.9090197883,-120.8962482975,36.0069735473,-131.0,1085.2,32.9
23995,-82.7806928518,-222.0321779684,-82780.6928517653,-222032.1779684291,-120.9195450605,36.0151429104,-126.4,2012.1,44.9
19929,-78.4487545739,-224.3515055968,-78448.7545739097,-224351.505596827,-120.8711910446,35.9946375837,-56.6,412.5,20.3
19853,-72.3376273605,-224.4288165178,-72337.6273605063,-224428.8165177736,-120.8033217149,35.9944275075,168.7,1877.8,43.3
